monomer_smiles,delta_H
C=C1CCCOC1=O,-38.669413105174364
C=C1CCOC1=O,-32.42851862624288
CC(C)(C)C1CCOC(=O)CC1,null
CC(C)(C)OC(=O)N1CCOC(=O)C1,null
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1C(=O)S2,null
CC(C)C1CCOC(=O)CC1,null
CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,null
CC1(C)CCOC(=O)CC1,null
CC1(C)COC(=O)OC1,null
CC1(C)COC1=O,-120.85091193607981
CC1(C)COC2(CCOC(=O)CC2)OC1,null
CC1(C)SCCSC1=O,null
CC1(C)[C@H]2CCC(=O)O[C@@H]1C2,null
CC1(c2ccccc2)COC(=O)OC1,null
CC1=CCC(=O)O1,-17.453719452330578
CC1CC(=O)O1,-123.2898962493102
CC1CCC(=O)OC1,-40.369154001612756
CC1CCCC(=O)O1,-37.75012208609708
CC1CCCOC1=O,-38.669413105174364
CC1CCCSC1=O,-41.6320552972619
CC1CCOC(=O)C1,-36.80348835186447
CC1CCOC(=O)CC1,null
CC1CCOC(=O)O1,-49.75537748051967
CC1COC(=O)CC(C)C1,null
CC1COCC(=O)OCC(C)COCC(=O)OC1,null
CC1OC(=O)C(C)OC1=O,null
CC1OC(=O)C(C)SC1=O,null
CC1OC(=O)CCOC(=O)C(C)OC(=O)CCOC1=O,null
CC1OCCC(=O)O1,-36.5992553825059
CC1OCCOC1=O,-41.52239246953385
CC1SC(=O)C(C)SC1=O,null
CC1SCCSC1=O,-60.656609542122375
CCC1(CC)COC(=O)OC1,null
CCC1(c2ccccc2)COC(=O)OC1,null
CCC1CCCC(=O)O1,null
CCC1CCCOC1=O,-42.51189916869147
CCC1CCOC(=O)CC1,null
CCCC1CCCC(=O)O1,null
CCCC1CCCOC1=O,null
CCCCC1CCCC(=O)O1,null
CCCCC1CCCOC1=O,null
CCCCCC1CCCC(=O)O1,null
CCCCCC1CCCOC1=O,null
CCCCCCC1CCCC(=O)O1,null
CCCCCCC1CCCOC1=O,null
CCCCCCCC1CCCC(=O)O1,null
CCCCCCCCCC1CCCC(=O)O1,null
C[C@@H]1CC(=O)O[C@@H]2CCCC[C@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCCC[C@@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,null
C[C@@H]1OC(=O)[C@H](C)OC1=O,null
C[C@@H]1OCCCOC(=O)[C@H](C)OCCCOC1=O,null
Cc1cn([C@H]2C[C@H]3OC(=O)OC[C@H]3O2)c(=O)n(C)c1=O,null
O=C1CCC2(CCO1)OCCCCO2,null
O=C1CCC2(CCO1)OCCCO2,null
O=C1CCC2(CCO1)OCCO2,null
O=C1CCCCCCCC/C=C/CCCCCO1,null
O=C1CCCCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCO1,null
O=C1CCCCCCCO1,null
O=C1CCCCCCO1,-57.01551473127411
O=C1CCCCCN1,-32.49588485973542
O=C1CCCCCO1,-41.43369865003547
O=C1CCCCCS1,-45.95043761658616
O=C1CCCCN1,-34.002430425572605
O=C1CCCCO1,-38.555080621641125
O=C1CCCCS1,-45.34091009090682
O=C1CCCN1,-28.013875816112648
O=C1CCCO1,-27.11968259848707
O=C1CCO1,-129.9009285063445
O=C1CN(Cc2ccccc2)CCO1,null
O=C1CN(c2ccccc2)CCO1,null
O=C1COC(=O)CO1,null
O=C1COCCO1,-41.15703969088888
O=C1COCCOCCOCCOCCO1,null
O=C1COCCS1,-49.44391831241228
O=C1CSCCO1,-49.558930598828404
O=C1CSCCS1,-54.80116038240386
O=C1C[C@@H]2CCCC[C@H]2O1,null
O=C1Cc2ccccc2CCO1,null
O=C1NC2CCC1C2,null
O=C1NC2CCCC1C2,null
O=C1OC2CCC1CC2,null
O=C1OCCCO1,-46.70412749235492
O=C1OC[C@@H]2CCCC[C@@H]12,null
O=C1OC[C@H]2C[C@@H]3C=C[C@]12O3,null
O=C1OC[C@H]2C[C@@H]3CC[C@]12O3,null
O=C1O[C@H]2CC[C@@H]1CC2,null
S=C1CCCCCO1,-36.932255487131755
S=C1O[C@H]2C=CCO[C@@H]2CS1,null
S=C1O[C@H]2CCCO[C@@H]2CS1,null
