monomer_smiles,delta_H
C=C1CCCOC1=O,-30.01280304840686
C=C1CCOC1=O,-23.78065131355236
CC(C)(C)C1CCOC(=O)CC1,null
CC(C)(C)OC(=O)N1CCOC(=O)C1,null
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1C(=O)S2,null
CC(C)C1CCOC(=O)CC1,null
CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,null
CC1(C)CCOC(=O)CC1,null
CC1(C)COC(=O)OC1,null
CC1(C)COC1=O,-112.74160418962366
CC1(C)COC2(CCOC(=O)CC2)OC1,null
CC1(C)SCCSC1=O,null
CC1(C)[C@H]2CCC(=O)O[C@@H]1C2,null
CC1(c2ccccc2)COC(=O)OC1,null
CC1=CCC(=O)O1,-11.0123174106319
CC1CC(=O)O1,-137.45565763117588
CC1CCC(=O)OC1,-38.34761309467788
CC1CCCC(=O)O1,-26.90563957648085
CC1CCCOC1=O,-30.01280304840686
CC1CCCSC1=O,-36.44881434186654
CC1CCOC(=O)C1,-23.505152759774454
CC1CCOC(=O)CC1,null
CC1CCOC(=O)O1,-47.303095045752826
CC1COC(=O)CC(C)C1,null
CC1COCC(=O)OCC(C)COCC(=O)OC1,null
CC1OC(=O)C(C)OC1=O,null
CC1OC(=O)C(C)SC1=O,null
CC1OC(=O)CCOC(=O)C(C)OC(=O)CCOC1=O,null
CC1OCCC(=O)O1,-20.37415113350856
CC1OCCOC1=O,-19.908800962840868
CC1SC(=O)C(C)SC1=O,null
CC1SCCSC1=O,-56.2800334085572
CCC1(CC)COC(=O)OC1,null
CCC1(c2ccccc2)COC(=O)OC1,null
CCC1CCCC(=O)O1,null
CCC1CCCOC1=O,-44.058919088162476
CCC1CCOC(=O)CC1,null
CCCC1CCCC(=O)O1,null
CCCC1CCCOC1=O,null
CCCCC1CCCC(=O)O1,null
CCCCC1CCCOC1=O,null
CCCCCC1CCCC(=O)O1,null
CCCCCC1CCCOC1=O,null
CCCCCCC1CCCC(=O)O1,null
CCCCCCC1CCCOC1=O,null
CCCCCCCC1CCCC(=O)O1,null
CCCCCCCCCC1CCCC(=O)O1,null
C[C@@H]1CC(=O)O[C@@H]2CCCC[C@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCCC[C@@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,null
C[C@@H]1OC(=O)[C@H](C)OC1=O,null
C[C@@H]1OCCCOC(=O)[C@H](C)OCCCOC1=O,null
Cc1cn([C@H]2C[C@H]3OC(=O)OC[C@H]3O2)c(=O)n(C)c1=O,null
O=C1CCC2(CCO1)OCCCCO2,null
O=C1CCC2(CCO1)OCCCO2,null
O=C1CCC2(CCO1)OCCO2,null
O=C1CCCCCCCC/C=C/CCCCCO1,null
O=C1CCCCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCO1,null
O=C1CCCCCCCO1,null
O=C1CCCCCCO1,-77.51689923163822
O=C1CCCCCN1,-41.76414559552924
O=C1CCCCCO1,-58.060034890099296
O=C1CCCCCS1,-51.74106420505952
O=C1CCCCN1,-26.44079280281333
O=C1CCCCO1,-31.029010840542075
O=C1CCCCS1,-72.1700553002017
O=C1CCCN1,-6.86082624081309
O=C1CCCO1,-17.867061426396333
O=C1CCO1,-146.08562825799152
O=C1CN(Cc2ccccc2)CCO1,null
O=C1CN(c2ccccc2)CCO1,null
O=C1COC(=O)CO1,null
O=C1COCCO1,-31.828766385839984
O=C1COCCOCCOCCOCCO1,null
O=C1COCCS1,-41.543468693659236
O=C1CSCCO1,-44.8627919897219
O=C1CSCCS1,-59.35312654236277
O=C1C[C@@H]2CCCC[C@H]2O1,null
O=C1Cc2ccccc2CCO1,null
O=C1NC2CCC1C2,null
O=C1NC2CCCC1C2,null
O=C1OC2CCC1CC2,null
O=C1OCCCO1,-32.426774184922024
O=C1OC[C@@H]2CCCC[C@@H]12,null
O=C1OC[C@H]2C[C@@H]3C=C[C@]12O3,null
O=C1OC[C@H]2C[C@@H]3CC[C@]12O3,null
O=C1O[C@H]2CC[C@@H]1CC2,null
S=C1CCCCCO1,-72.13011778568955
S=C1O[C@H]2C=CCO[C@@H]2CS1,null
S=C1O[C@H]2CCCO[C@@H]2CS1,null
