monomer_smiles,delta_S
C=C1CCCOC1=O,-170.7547249114881
C=C1CCOC1=O,-180.46759854702555
CC(C)(C)C1CCOC(=O)CC1,null
CC(C)(C)OC(=O)N1CCOC(=O)C1,null
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1C(=O)S2,null
CC(C)C1CCOC(=O)CC1,null
CC(C)[C@@H]1CC[C@@H](C)CC(=O)O1,null
CC1(C)CCOC(=O)CC1,null
CC1(C)COC(=O)OC1,null
CC1(C)COC1=O,-188.28166616916397
CC1(C)COC2(CCOC(=O)CC2)OC1,null
CC1(C)SCCSC1=O,null
CC1(C)[C@H]2CCC(=O)O[C@@H]1C2,null
CC1(c2ccccc2)COC(=O)OC1,null
CC1=CCC(=O)O1,-174.44701153588912
CC1CC(=O)O1,-184.06939617021976
CC1CCC(=O)OC1,-177.98325083149368
CC1CCCC(=O)O1,-174.83281137079507
CC1CCCOC1=O,-170.7547249114881
CC1CCCSC1=O,-179.94585566862395
CC1CCOC(=O)C1,-176.1076840961844
CC1CCOC(=O)CC1,null
CC1CCOC(=O)O1,-195.15949011379846
CC1COC(=O)CC(C)C1,null
CC1COCC(=O)OCC(C)COCC(=O)OC1,null
CC1OC(=O)C(C)OC1=O,null
CC1OC(=O)C(C)SC1=O,null
CC1OC(=O)CCOC(=O)C(C)OC(=O)CCOC1=O,null
CC1OCCC(=O)O1,-173.51248934781466
CC1OCCOC1=O,-172.82244654922596
CC1SC(=O)C(C)SC1=O,null
CC1SCCSC1=O,-193.6963912987365
CCC1(CC)COC(=O)OC1,null
CCC1(c2ccccc2)COC(=O)OC1,null
CCC1CCCC(=O)O1,null
CCC1CCCOC1=O,-175.1028459347847
CCC1CCOC(=O)CC1,null
CCCC1CCCC(=O)O1,null
CCCC1CCCOC1=O,null
CCCCC1CCCC(=O)O1,null
CCCCC1CCCOC1=O,null
CCCCCC1CCCC(=O)O1,null
CCCCCC1CCCOC1=O,null
CCCCCCC1CCCC(=O)O1,null
CCCCCCC1CCCOC1=O,null
CCCCCCCC1CCCC(=O)O1,null
CCCCCCCCCC1CCCC(=O)O1,null
C[C@@H]1CC(=O)O[C@@H]2CCCC[C@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCCC[C@@H]2O1,null
C[C@@H]1CC(=O)O[C@H]2CCC[C@@H]2O1,null
C[C@@H]1OC(=O)[C@H](C)OC1=O,null
C[C@@H]1OCCCOC(=O)[C@H](C)OCCCOC1=O,null
Cc1cn([C@H]2C[C@H]3OC(=O)OC[C@H]3O2)c(=O)n(C)c1=O,null
O=C1CCC2(CCO1)OCCCCO2,null
O=C1CCC2(CCO1)OCCCO2,null
O=C1CCC2(CCO1)OCCO2,null
O=C1CCCCCCCC/C=C/CCCCCO1,null
O=C1CCCCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCCCO1,null
O=C1CCCCCCCCCCO1,null
O=C1CCCCCCCO1,null
O=C1CCCCCCO1,-163.75647923384818
O=C1CCCCCN1,-173.55720748999983
O=C1CCCCCO1,-168.84764565247954
O=C1CCCCCS1,-169.5792197740554
O=C1CCCCN1,-170.62732767353077
O=C1CCCCO1,-170.49725213588135
O=C1CCCCS1,-170.95826413717953
O=C1CCCN1,-171.26264216520377
O=C1CCCO1,-170.89753040379833
O=C1CCO1,-172.0210074378166
O=C1CN(Cc2ccccc2)CCO1,null
O=C1CN(c2ccccc2)CCO1,null
O=C1COC(=O)CO1,null
O=C1COCCO1,-171.8092766800073
O=C1COCCOCCOCCOCCO1,null
O=C1COCCS1,-178.6765987067856
O=C1CSCCO1,-173.95295587618182
O=C1CSCCS1,-178.60772319347967
O=C1C[C@@H]2CCCC[C@H]2O1,null
O=C1Cc2ccccc2CCO1,null
O=C1NC2CCC1C2,null
O=C1NC2CCCC1C2,null
O=C1OC2CCC1CC2,null
O=C1OCCCO1,-166.5181690694185
O=C1OC[C@@H]2CCCC[C@@H]12,null
O=C1OC[C@H]2C[C@@H]3C=C[C@]12O3,null
O=C1OC[C@H]2C[C@@H]3CC[C@]12O3,null
O=C1O[C@H]2CC[C@@H]1CC2,null
S=C1CCCCCO1,-178.02236200789966
S=C1O[C@H]2C=CCO[C@@H]2CS1,null
S=C1O[C@H]2CCCO[C@@H]2CS1,null
